Sl no,Comment,Comment_Tokens
1,you better do jakepaul dirty ,"['better', 'jakepaul', 'dirty']"
2,thats soooooooooo right,"['thats', 'soooooooooo', 'right']"
3,bro i want that shirt,"['bro', 'want', 'shirt']"
4,No Comment,"['No', 'Comment']"
5,michaelgalt bro he only needs  to beat jakes ass,"['michaelgalt', 'bro', 'needs', 'beat', 'jakes', 'ass']"
6, ,[]
7, on mike   tko,"['mike', 'tko']"
8,the tshirt though ,"['tshirt', 'though']"
9,yeah boy tysons gonna get shit done the goat,"['yeah', 'boy', 'tysons', 'gon', 'na', 'get', 'shit', 'done', 'goat']"
10,please win mike,"['please', 'win', 'mike']"
11,i want this tshirt,"['want', 'tshirt']"
12,love that shirt,"['love', 'shirt']"
13,No Comment,"['No', 'Comment']"
14,No Comment,"['No', 'Comment']"
15,jakepaul i cant wait to see it,"['jakepaul', 'cant', 'wait', 'see']"
16,my brotha michael  he was a heck of an inspiration  now everybody is a student everybody is a teacher  i learn from you you learn from me  you never stop learning  you have to keep your mind strong  lets say you become a couch potato  you dont realize it but your mind follows you  so you create this world you visit on occasion  you go to visit one day but you dont come back  your mind is too weak and now we have to care for you  the rest of your life theres only a thin thread separating genius from sanity   i read quincys autobiography  his mother was so smart  she knew give languages  word per minute on that manual typewriter she knew two forms of shorthand  one day they were on the living room  they here the window upstairs crash  once they get there they see their staring out the window  his dad says i knew one day this would happen  great book  it can hit home and give you understanding of one  hes really endured so much  you have to promise me youll read itstay prayin stay blessed,"['brotha', 'michael', 'heck', 'inspiration', 'everybody', 'student', 'everybody', 'teacher', 'learn', 'learn', 'never', 'stop', 'learning', 'keep', 'mind', 'strong', 'lets', 'say', 'become', 'couch', 'potato', 'dont', 'realize', 'mind', 'follows', 'create', 'world', 'visit', 'occasion', 'go', 'visit', 'one', 'day', 'dont', 'come', 'back', 'mind', 'weak', 'care', 'rest', 'life', 'theres', 'thin', 'thread', 'separating', 'genius', 'sanity', 'read', 'quincys', 'autobiography', 'mother', 'smart', 'knew', 'give', 'languages', 'word', 'per', 'minute', 'manual', 'typewriter', 'knew', 'two', 'forms', 'shorthand', 'one', 'day', 'living', 'room', 'window', 'upstairs', 'crash', 'get', 'see', 'staring', 'window', 'dad', 'says', 'knew', 'one', 'day', 'would', 'happen', 'great', 'book', 'hit', 'home', 'give', 'understanding', 'one', 'hes', 'really', 'endured', 'much', 'promise', 'youll', 'read', 'itstay', 'prayin', 'stay', 'blessed']"
17,jakepaul you do have a money plan  get punched in the mouth for a few millions,"['jakepaul', 'money', 'plan', 'get', 'punched', 'mouth', 'millions']"
18,finish him fatality style,"['finish', 'fatality', 'style']"
19,do it  ,[]
20,whens the fight,"['whens', 'fight']"
21,a plan is not a dream,"['plan', 'dream']"
22,miketysoncollection the shirt on the site  doesnt exactly say what is on the shirt he is wearing in this photo,"['miketysoncollection', 'shirt', 'site', 'doesnt', 'exactly', 'say', 'shirt', 'wearing', 'photo']"
23,jakepaul hell make you ,"['jakepaul', 'hell', 'make']"
24,legend forever jake is a puss,"['legend', 'forever', 'jake', 'puss']"
25,the shirt says it all iron mike ,"['shirt', 'says', 'iron', 'mike']"
26,do ya thizzang cuzy,"['ya', 'thizzang', 'cuzy']"
27,need this jersey,"['need', 'jersey']"
28,jakepaul exactly bruh,"['jakepaul', 'exactly', 'bruh']"
29,jakepaul a genius man without a plan is more big failure than a silly person with just a single plan,"['jakepaul', 'genius', 'man', 'without', 'plan', 'big', 'failure', 'silly', 'person', 'single', 'plan']"
30,dhruvmittal still for a reminder you are fighting mike tyson dont get nasty before the mess starts,"['dhruvmittal', 'still', 'reminder', 'fighting', 'mike', 'tyson', 'dont', 'get', 'nasty', 'mess', 'starts']"
31,No Comment,"['No', 'Comment']"
32,pussy jk,"['pussy', 'jk']"
33,yo mike catskill in the house melissa here god bless,"['yo', 'mike', 'catskill', 'house', 'melissa', 'god', 'bless']"
34,mike your going to kick ass,"['mike', 'going', 'kick', 'ass']"
35,nah he still got one ,"['nah', 'still', 'got', 'one']"
36,jake paul ,"['jake', 'paul']"
37,jakepaul dont do it,"['jakepaul', 'dont']"
38,jakepaul rip,"['jakepaul', 'rip']"
39,i need this shirt so bad now ,"['need', 'shirt', 'bad']"
40,No Comment,"['No', 'Comment']"
41,master ,['master']
42,there is no way in this lifetime that jake paul could come close to beating him,"['way', 'lifetime', 'jake', 'paul', 'could', 'come', 'close', 'beating']"
43,No Comment,"['No', 'Comment']"
44,what if they have planned for the punch  i guess you have to  head for the  with the  mouth wide open ,"['planned', 'punch', 'guess', 'head', 'mouth', 'wide', 'open']"
45,No Comment,"['No', 'Comment']"
46,jakepaul so your training is not a plan ok alright,"['jakepaul', 'training', 'plan', 'ok', 'alright']"
47,iron mike ,"['iron', 'mike']"
48,this shirt ,['shirt']
49,jakepaul because your not a real boxer like him ,"['jakepaul', 'real', 'boxer', 'like']"
50,no comment,['comment']
51,No Comment,"['No', 'Comment']"
52,jakepaul you mustve paid him big money if you got miketyson promoting it lol,"['jakepaul', 'mustve', 'paid', 'big', 'money', 'got', 'miketyson', 'promoting', 'lol']"
53,jakepaul plan or no plan you will get destroyed,"['jakepaul', 'plan', 'plan', 'get', 'destroyed']"
54,i hope mike hits him so hard that he is never seen again,"['hope', 'mike', 'hits', 'hard', 'never', 'seen']"
55,No Comment,"['No', 'Comment']"
56,No Comment,"['No', 'Comment']"
57,you need to kick jakes ass ,"['need', 'kick', 'jakes', 'ass']"
58,great man,"['great', 'man']"
59,youngman u cant whoop neither jake or mike in a fight  on  sit yo ass down with these casual comments ,"['youngman', 'u', 'cant', 'whoop', 'neither', 'jake', 'mike', 'fight', 'sit', 'yo', 'ass', 'casual', 'comments']"
60,draco ur name is king draco sit ur wannabe ass down ,"['draco', 'ur', 'name', 'king', 'draco', 'sit', 'ur', 'wannabe', 'ass']"
61,youngman its okay to own up to the fact u cant whoop not jake and mike tyson no need to get mad i call myself draco cuz da  rounds me yo mother and sister had but hey we can do it  rounds split ,"['youngman', 'okay', 'fact', 'u', 'cant', 'whoop', 'jake', 'mike', 'tyson', 'need', 'get', 'mad', 'call', 'draco', 'cuz', 'da', 'rounds', 'yo', 'mother', 'sister', 'hey', 'rounds', 'split']"
